time,exo_knee_r,exo_knee_l,exo_hip_r,exo_hip_l
0.000000,0.000000,0.000000,0.000000,0.000000
0.033333,0.000000,0.000000,0.000000,0.000000
0.066667,0.000000,0.000000,0.000000,0.000000
0.100000,0.000000,0.000000,0.000000,0.000000
0.133333,0.000000,0.000000,0.000000,0.000000
0.166667,0.000000,0.000000,0.000000,0.000000
0.200000,0.000000,0.000000,0.000000,0.000000
0.233333,0.000000,0.000000,0.000000,0.000000
0.266667,0.000000,0.000000,0.000000,0.000000
0.300000,0.000000,0.000000,0.000000,0.000000
0.333333,0.000000,0.000000,0.000000,0.000000
0.366667,0.000000,0.000000,0.000000,0.000000
0.400000,0.000000,0.000000,0.000000,0.000000
0.433333,0.000000,0.000000,0.000000,0.000000
0.466667,0.000000,0.000000,0.000000,0.000000
0.500000,0.000000,0.000000,0.000000,0.000000
0.533333,0.000000,0.000000,0.000000,0.000000
0.566667,0.000000,0.000000,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000,0.000000
0.633333,0.000000,0.000000,0.000000,0.000000
0.666667,0.000000,0.000000,0.000000,0.000000
0.700000,0.000000,0.000000,0.000000,0.000000
0.733333,0.000000,0.000000,0.000000,0.000000
0.766667,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000
0.833333,0.000000,0.000000,0.000000,0.000000
0.866667,0.000000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000,0.000000
0.933333,0.000000,0.000000,0.000000,0.000000
0.966667,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000
1.033333,0.000000,0.000000,0.000000,0.000000
1.066667,0.000000,0.000000,0.000000,0.000000
1.100000,0.000000,0.000000,0.000000,0.000000
1.133333,0.000000,0.000000,0.000000,0.000000
1.166667,0.000000,0.000000,0.000000,0.000000
1.200000,0.000000,0.000000,0.000000,0.000000
1.233333,0.000000,0.000000,0.000000,0.000000
1.266667,0.000000,0.000000,0.000000,0.000000
1.300000,0.000000,0.000000,0.000000,0.000000
1.333333,0.000000,0.000000,0.000000,0.000000
1.366667,0.000000,0.000000,0.000000,0.000000
1.400000,0.000000,0.000000,0.000000,0.000000
1.433333,0.000000,0.000000,0.000000,0.000000
1.466667,0.000000,0.000000,0.000000,0.000000
1.500000,0.000000,0.000000,0.000000,0.000000
1.533333,0.000000,0.000000,0.000000,0.000000
1.566667,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000
1.633333,0.000000,0.000000,0.000000,0.000000
1.666667,0.000000,0.000000,0.000000,0.000000
1.700000,0.000000,0.000000,0.000000,0.000000
1.733333,0.000000,0.000000,0.000000,0.000000
1.766667,0.000000,0.000000,0.000000,0.000000
1.800000,0.000000,0.000000,0.000000,0.000000
1.833333,0.000000,0.000000,0.000000,0.000000
1.866667,0.000000,0.000000,0.000000,0.000000
1.900000,0.000000,0.000000,0.000000,0.000000
1.933333,0.000000,0.000000,0.000000,0.000000
1.966667,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000
2.033333,0.000000,0.000000,0.000000,0.000000
2.066667,0.000000,0.000000,0.000000,0.000000
2.100000,0.000000,0.000000,0.000000,0.000000
2.133333,0.000000,0.000000,0.000000,0.000000
2.166667,0.000000,0.000000,0.000000,0.000000
2.200000,0.000000,0.000000,0.000000,0.000000
2.233333,0.000000,0.000000,0.000000,0.000000
2.266667,0.000000,0.000000,0.000000,0.000000
2.300000,0.000000,0.000000,0.000000,0.000000
2.333333,0.000000,0.000000,0.000000,0.000000
2.366667,0.000000,0.000000,0.000000,0.000000
2.400000,0.000000,0.000000,0.000000,0.000000
2.433333,0.000000,0.000000,0.000000,0.000000
2.466667,0.000000,0.000000,0.000000,0.000000
2.500000,0.000000,0.000000,0.000000,0.000000
2.533333,0.000000,0.000000,0.000000,0.000000
2.566667,0.000000,0.000000,0.000000,0.000000
2.600000,0.000000,0.000000,0.000000,0.000000
2.633333,0.000000,0.000000,0.000000,0.000000
2.666667,0.000000,0.000000,0.000000,0.000000
2.700000,0.000000,0.000000,0.000000,0.000000
2.733333,0.000000,0.000000,0.000000,0.000000
2.766667,0.000000,0.000000,0.000000,0.000000
2.800000,0.000000,0.000000,0.000000,0.000000
2.833333,0.000000,0.000000,0.000000,0.000000
2.866667,0.000000,0.000000,0.000000,0.000000
2.900000,0.000000,0.000000,0.000000,0.000000
2.933333,0.000000,0.000000,0.000000,0.000000
2.966667,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000
3.033333,0.000000,0.000000,0.000000,0.000000
3.066667,0.000000,0.000000,0.000000,0.000000
3.100000,0.000000,0.000000,0.000000,0.000000
3.133333,0.000000,0.000000,0.000000,0.000000
3.166667,0.000000,0.000000,0.000000,0.000000
3.200000,0.000000,0.000000,0.000000,0.000000
3.233333,0.000000,0.000000,0.000000,0.000000
3.266667,0.000000,0.000000,0.000000,0.000000
3.300000,0.000000,0.000000,0.000000,0.000000
3.333333,0.000000,0.000000,0.000000,0.000000
3.366667,0.000000,0.000000,0.000000,0.000000
3.400000,0.000000,0.000000,0.000000,0.000000
3.433333,0.000000,0.000000,0.000000,0.000000
3.466667,0.000000,0.000000,0.000000,0.000000
3.500000,0.000000,0.000000,0.000000,0.000000
3.533333,0.000000,0.000000,0.000000,0.000000
3.566667,0.000000,0.000000,0.000000,0.000000
3.600000,0.000000,0.000000,0.000000,0.000000
3.633333,0.000000,0.000000,0.000000,0.000000
3.666667,0.000000,0.000000,0.000000,0.000000
3.700000,0.000000,0.000000,0.000000,0.000000
3.733333,0.000000,0.000000,0.000000,0.000000
3.766667,0.000000,0.000000,0.000000,0.000000
3.800000,0.000000,0.000000,0.000000,0.000000
3.833333,0.000000,0.000000,0.000000,0.000000
3.866667,0.000000,0.000000,0.000000,0.000000
3.900000,0.000000,0.000000,0.000000,0.000000
3.933333,0.000000,0.000000,0.000000,0.000000
3.966667,0.000000,0.000000,0.000000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000
4.033333,0.000000,0.000000,0.000000,0.000000
4.066667,0.000000,0.000000,0.000000,0.000000
4.100000,0.000000,0.000000,0.000000,0.000000
4.133333,0.000000,0.000000,0.000000,0.000000
4.166667,0.000000,0.000000,0.000000,0.000000
4.200000,0.000000,0.000000,0.000000,0.000000
4.233333,0.000000,0.000000,0.000000,0.000000
4.266667,0.000000,0.000000,0.000000,0.000000
4.300000,0.000000,0.000000,0.000000,0.000000
4.333333,0.000000,0.000000,0.000000,0.000000
4.366667,0.000000,0.000000,0.000000,0.000000
4.400000,0.000000,0.000000,0.000000,0.000000
4.433333,0.000000,0.000000,0.000000,0.000000
4.466667,0.000000,0.000000,0.000000,0.000000
4.500000,0.000000,0.000000,0.000000,0.000000
4.533333,0.000000,0.000000,0.000000,0.000000
4.566667,0.000000,0.000000,0.000000,0.000000
4.600000,0.000000,0.000000,0.000000,0.000000
4.633333,0.000000,0.000000,0.000000,0.000000
4.666667,0.000000,0.000000,0.000000,0.000000
4.700000,0.000000,0.000000,0.000000,0.000000
4.733333,0.000000,0.000000,0.000000,0.000000
4.766667,0.000000,0.000000,0.000000,0.000000
4.800000,0.000000,0.000000,0.000000,0.000000
4.833333,0.000000,0.000000,0.000000,0.000000
4.866667,0.000000,0.000000,0.000000,0.000000
4.900000,0.000000,0.000000,0.000000,0.000000
4.933333,0.000000,0.000000,0.000000,0.000000
4.966667,0.000000,0.000000,0.000000,0.000000
5.000000,0.000000,0.000000,0.000000,0.000000
5.033333,0.000000,0.000000,0.000000,0.000000
5.066667,0.000000,0.000000,0.000000,0.000000
5.100000,0.000000,0.000000,0.000000,0.000000
5.133333,0.000000,0.000000,0.000000,0.000000
5.166667,0.000000,0.000000,0.000000,0.000000
5.200000,0.000000,0.000000,0.000000,0.000000
5.233333,0.000000,0.000000,0.000000,0.000000
5.266667,0.000000,0.000000,0.000000,0.000000
5.300000,0.000000,0.000000,0.000000,0.000000
5.333333,0.000000,0.000000,0.000000,0.000000
5.366667,0.000000,0.000000,0.000000,0.000000
5.400000,0.000000,0.000000,0.000000,0.000000
5.433333,0.000000,0.000000,0.000000,0.000000
5.466667,0.000000,0.000000,0.000000,0.000000
5.500000,0.000000,0.000000,0.000000,0.000000
5.533333,0.000000,0.000000,0.000000,0.000000
5.566667,0.000000,0.000000,0.000000,0.000000
5.600000,0.000000,0.000000,0.000000,0.000000
5.633333,0.000000,0.000000,0.000000,0.000000
5.666667,0.000000,0.000000,0.000000,0.000000
5.700000,0.000000,0.000000,0.000000,0.000000
5.733333,0.000000,0.000000,0.000000,0.000000
5.766667,0.000000,0.000000,0.000000,0.000000
5.800000,0.000000,0.000000,0.000000,0.000000
5.833333,0.000000,0.000000,0.000000,0.000000
5.866667,0.000000,0.000000,0.000000,0.000000
5.900000,0.000000,0.000000,0.000000,0.000000
5.933333,0.000000,0.000000,0.000000,0.000000
5.966667,0.000000,0.000000,0.000000,0.000000
6.000000,0.000000,0.000000,0.000000,0.000000
6.033333,0.000000,0.000000,0.000000,0.000000
6.066667,0.000000,0.000000,0.000000,0.000000
6.100000,0.000000,0.000000,0.000000,0.000000
6.133333,0.000000,0.000000,0.000000,0.000000
