time,work_proxy
0.000000,29.570503
0.033333,37.532738
0.066667,33.898350
0.100000,29.588675
0.133333,32.931358
0.166667,33.703316
0.200000,31.319916
0.233333,29.794884
0.266667,29.367332
0.300000,31.687389
0.333333,31.090279
0.366667,31.035351
0.400000,30.386614
0.433333,30.661285
0.466667,30.547375
0.500000,30.554844
0.533333,30.542639
0.566667,30.365845
0.600000,30.329140
0.633333,30.307766
0.666667,30.317974
0.700000,30.337708
0.733333,30.359463
0.766667,30.347002
0.800000,30.336422
0.833333,30.362886
0.866667,30.382647
0.900000,30.330780
0.933333,30.304665
0.966667,30.322941
1.000000,30.333874
1.033333,30.323626
1.066667,30.320051
1.100000,30.305780
1.133333,30.292583
1.166667,30.302561
1.200000,30.313072
1.233333,30.303900
1.266667,30.300083
1.300000,30.304689
1.333333,30.318556
1.366667,30.315998
1.400000,30.323572
1.433333,30.330250
1.466667,30.337120
1.500000,30.353088
1.533333,30.374844
1.566667,30.423721
1.600000,30.447380
1.633333,30.433569
1.666667,30.438803
1.700000,30.264896
1.733333,30.107857
1.766667,30.014093
1.800000,29.959208
1.833333,29.939766
1.866667,30.017712
1.900000,29.778570
1.933333,29.516010
1.966667,29.164629
2.000000,29.160707
2.033333,29.825960
2.066667,30.780153
2.100000,33.373245
2.133333,39.132172
2.166667,38.058723
2.200000,38.969337
2.233333,35.312016
2.266667,33.424263
2.300000,35.259823
2.333333,33.913376
2.366667,27.156649
2.400000,30.793297
2.433333,31.154728
2.466667,31.709816
2.500000,31.753468
2.533333,34.059551
2.566667,38.614872
2.600000,40.858704
2.633333,34.925564
2.666667,33.549309
2.700000,33.419716
2.733333,33.624683
2.766667,33.108341
2.800000,29.551075
2.833333,24.850689
2.866667,26.682156
2.900000,28.432800
2.933333,29.244129
2.966667,26.227692
3.000000,25.668480
3.033333,25.522747
3.066667,26.214083
3.100000,28.727381
3.133333,26.703888
3.166667,27.804110
3.200000,25.892189
3.233333,30.591011
3.266667,32.336090
3.300000,32.005890
3.333333,38.365925
3.366667,35.958649
3.400000,31.359505
3.433333,36.375240
3.466667,41.706551
3.500000,37.055161
3.533333,34.840317
3.566667,36.918488
3.600000,38.917641
3.633333,31.700565
3.666667,33.191879
3.700000,37.289558
3.733333,35.430031
3.766667,26.953789
3.800000,27.517384
3.833333,24.767612
3.866667,27.012894
3.900000,24.948772
3.933333,28.219997
3.966667,29.760101
4.000000,26.961811
4.033333,27.240034
4.066667,30.261789
4.100000,30.659763
4.133333,25.760691
4.166667,32.589813
4.200000,30.494152
